GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
5,0.0,0.0,-0.0,0.0,0.0,0.0,-0.02,2.39,-0.0,0.0,-2.37,0.0,2.37,-2.37,-0.0
6,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.02,0.47,0.0,-0.0,-0.46,0.0,0.45,-0.46,-0.01
7,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,0.05,-0.0,-0.0,-0.05,-0.0,0.04,-0.05,-0.01
8,0.0,0.0,-0.0,0.0,0.0,0.0,-0.05,-0.41,-0.0,-0.0,0.49,-0.0,-0.45,0.49,0.04
9,0.0,-0.0,0.0,0.0,0.0,0.0,-0.02,-0.95,0.0,0.0,0.96,0.0,-0.97,0.96,-0.01
10,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.58,0.0,0.0,0.6,0.0,-0.6,0.6,-0.0
11,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.01,-0.45,-0.0,-0.0,0.46,0.0,-0.47,0.46,-0.01
12,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.01,-0.02,-0.0,-0.0,0.02,-0.0,-0.03,0.02,-0.01
13,0.0,0.0,-0.0,0.0,0.0,0.0,-0.01,2.48,0.0,-0.0,-2.47,-0.0,2.47,-2.47,-0.01
14,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.58,0.0,0.0,-0.58,0.0,0.57,-0.58,-0.01
15,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.8,-0.0,-0.0,-0.8,-0.0,0.78,-0.8,-0.01
16,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,2.77,0.0,0.0,-2.75,0.0,2.74,-2.75,-0.0
17,0.0,-0.0,0.0,0.0,0.0,0.0,-0.03,1.06,-0.0,-0.0,-1.03,0.0,1.03,-1.03,0.01
18,-0.0,0.0,0.0,0.0,0.0,0.0,-0.19,0.94,-0.0,-0.0,-0.64,0.0,0.75,-0.64,0.1
19,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.17,-0.03,-0.0,-0.0,0.35,0.0,-0.2,0.35,0.15
