GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
30,40.67,46.99,42.31,13.78,0.0,0.0,-33.65,-43.78,117.74,-4.37,-5.91,8.39,179.7,2.48,182.17
31,48.83,42.38,48.15,13.76,0.0,0.0,-25.6,-42.67,109.36,-4.25,-7.39,8.6,189.94,1.21,191.16
32,35.54,44.54,42.24,14.79,0.0,0.0,-30.01,-43.56,119.32,-4.4,-4.58,8.26,178.46,3.68,182.14
33,42.2,38.69,45.69,12.77,0.0,0.0,-32.06,-42.13,114.71,-4.14,-5.57,8.24,175.73,2.68,178.41
34,44.84,48.06,51.92,13.66,0.0,0.0,-31.27,-42.83,115.77,-3.83,-8.45,8.87,196.3,0.42,196.72
35,36.43,46.96,41.44,12.3,0.0,0.0,-25.42,-42.24,117.79,-2.89,-9.07,9.07,184.38,0.0,184.38
36,51.77,50.86,49.17,15.28,0.0,0.0,-32.12,-43.04,111.65,-4.22,-7.08,8.41,199.36,1.33,200.69
37,38.34,48.34,48.42,13.99,0.0,0.0,-35.31,-43.44,120.82,-4.35,-5.68,8.31,186.8,2.63,189.44
38,32.58,49.35,48.39,13.7,0.0,0.0,-31.29,-41.82,124.44,-3.9,-5.78,8.0,191.43,2.23,193.66
39,39.69,40.13,44.83,13.09,0.0,0.0,-30.29,-42.51,124.74,-3.78,-6.89,8.49,185.89,1.61,187.5
40,45.18,45.27,47.26,13.69,0.0,0.0,-30.47,-43.25,117.33,-5.01,-6.44,8.6,189.99,2.16,192.16
41,31.12,46.13,46.05,13.01,0.0,0.0,-30.24,-42.35,127.55,-3.68,-7.94,9.03,187.61,1.09,188.7
42,41.81,44.52,50.22,12.93,0.0,0.0,-32.09,-42.53,122.39,-4.27,-5.75,8.37,192.99,2.62,195.61
43,38.71,42.08,52.05,12.41,0.0,0.0,-26.38,-43.21,119.89,-3.39,-7.59,8.72,192.18,1.13,193.3
44,42.73,41.52,38.62,11.25,0.0,0.0,-32.0,-41.53,114.43,-3.27,-7.44,8.8,171.77,1.36,173.12
45,47.76,43.36,41.21,14.0,0.0,0.0,-27.92,-41.7,118.42,-4.98,-8.6,8.95,190.14,0.36,190.5
46,34.63,37.94,49.19,12.01,0.0,0.0,-24.0,-43.79,123.62,-3.6,-8.19,9.0,185.99,0.81,186.79
47,38.25,37.25,41.61,12.48,0.0,0.0,-30.74,-40.12,119.2,-4.89,-7.44,8.84,173.05,1.39,174.45
48,52.41,43.96,48.03,15.43,0.0,0.0,-23.36,-42.1,108.82,-3.73,-8.3,8.91,199.46,0.61,200.07
49,44.23,44.81,50.56,16.29,0.0,0.0,-25.55,-44.56,119.31,-3.07,-6.14,8.31,202.01,2.18,204.19
50,48.84,43.86,43.22,15.13,0.0,0.0,-26.84,-42.59,115.06,-4.79,-7.4,8.68,191.9,1.29,193.19
51,36.13,46.71,45.04,15.91,0.0,0.0,-28.04,-41.93,123.78,-3.81,-8.49,8.85,193.78,0.36,194.14
52,39.03,47.54,49.02,13.35,0.0,0.0,-32.75,-43.46,121.1,-2.98,-6.16,8.27,190.85,2.11,192.96
53,37.41,44.51,54.34,13.49,0.0,0.0,-33.15,-41.39,115.82,-4.08,-8.38,8.89,186.95,0.51,187.46
54,36.66,44.51,48.62,12.75,0.0,0.0,-28.64,-41.79,119.42,-4.24,-6.12,8.81,187.28,2.69,189.98
55,33.62,48.88,33.91,11.81,0.0,0.0,-30.21,-40.54,118.71,-4.98,-8.71,9.07,171.21,0.36,171.57
56,42.7,41.0,44.81,11.23,0.0,0.0,-28.7,-41.85,116.29,-3.45,-8.42,8.95,182.03,0.53,182.55
57,49.04,50.83,44.23,15.38,0.0,0.0,-32.4,-44.55,112.22,-2.54,-7.69,8.72,192.21,1.03,193.24
58,42.48,42.03,38.23,13.88,0.0,0.0,-29.76,-44.32,110.7,-3.14,-6.6,8.62,170.1,2.02,172.12
59,38.18,51.45,39.42,16.35,0.0,0.0,-24.3,-43.04,121.97,-3.67,-8.71,9.36,196.36,0.65,197.01
60,37.42,42.86,47.78,12.65,0.0,0.0,-28.07,-43.34,124.24,-2.54,-7.68,9.06,191.0,1.38,192.38
61,38.61,45.42,41.99,14.05,0.0,0.0,-29.87,-42.62,116.96,-3.49,-6.9,8.5,181.05,1.6,182.65
62,37.15,44.95,37.25,13.22,0.0,0.0,-30.67,-45.18,115.33,-2.39,-5.35,8.3,169.66,2.94,172.6
63,36.71,46.25,45.2,14.01,0.0,0.0,-22.83,-41.68,126.71,-1.73,-7.35,8.97,202.65,1.62,204.27
64,39.64,46.05,43.73,12.58,0.0,0.0,-29.85,-43.0,120.67,-4.47,-6.28,8.56,185.34,2.27,187.62
65,44.31,41.21,46.85,15.03,0.0,0.0,-26.56,-45.48,110.43,-1.6,-6.77,8.69,184.19,1.92,186.11
66,31.26,45.05,48.96,13.67,0.0,0.0,-24.76,-41.95,125.87,-4.43,-8.19,9.35,193.67,1.16,194.83
67,39.93,41.45,43.66,12.4,0.0,0.0,-29.04,-43.56,117.91,-3.2,-9.22,9.11,179.55,-0.1,179.45
68,39.11,51.78,52.21,14.75,0.0,0.0,-32.65,-44.05,119.12,-4.2,-8.47,8.98,196.08,0.51,196.59
69,40.6,43.63,40.77,12.9,0.0,0.0,-26.41,-43.42,119.78,-3.24,-5.5,8.33,184.6,2.84,187.44
70,41.02,46.66,42.0,13.08,0.0,0.0,-34.94,-43.37,112.08,-3.38,-7.69,8.72,173.15,1.02,174.17
71,47.77,43.58,58.18,12.83,0.0,0.0,-28.4,-44.88,111.49,-4.49,-6.4,8.42,196.07,2.02,198.09
72,47.42,44.65,47.62,14.81,0.0,0.0,-31.46,-44.53,113.09,-2.8,-6.38,8.39,188.8,2.01,190.81
73,41.32,42.63,45.86,13.5,0.0,0.0,-28.81,-45.24,124.1,-1.25,-8.03,9.02,192.11,0.99,193.1
74,42.16,52.03,53.05,14.63,0.0,0.0,-32.4,-43.51,119.69,-2.47,-7.65,8.59,203.18,0.94,204.12
75,39.8,48.34,43.07,14.94,0.0,0.0,-35.52,-43.89,118.78,-3.34,-5.12,8.21,182.18,3.09,185.27
76,34.75,40.38,50.9,10.86,0.0,0.0,-30.13,-42.56,120.1,-4.67,-7.65,8.83,179.64,1.18,180.82
77,46.87,40.78,46.51,14.41,0.0,0.0,-37.37,-44.34,115.62,-3.99,-5.05,8.13,178.47,3.08,181.56
78,37.25,48.52,46.54,15.08,0.0,0.0,-36.57,-42.95,117.66,-1.59,-5.63,7.78,183.95,2.15,186.1
